"game_half","posteam","qtr","down","time","yrdln","ydstogo","yards_gained","play_type","shotgun","no_huddle","pass_length","pass_location","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","timeout_team","td_team","posteam_timeouts_remaining","defteam_timeouts_remaining","half_seconds_remaining","game_seconds_remaining","return_yards","penalty_team","safety","fumble_lost","interception","sack","penalty_player_name","success","pass","rush","aborted_play","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","personnel","opponent_personnel","pre-formation","post-formation","motion"
"Half1","ATL",1,NA,"15:00","35",0,0,"kickoff",0,0,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,3,3,1800,3600,29,NA,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,"Kickoff Return","Kickoff","","",""
"Half1","ATL",1,1,"14:55","-30",10,7,"run",1,0,NA,NA,"left","tackle",NA,NA,NA,NA,NA,NA,3,3,1795,3595,0,NA,0,0,0,0,NA,1,0,1,0,0,0,0,0,0,"12","4-2","Pistol Wing","Pistol Trips","89 Woerner"
"Half1","ATL",1,2,"14:15","-37",3,3,"run",1,0,NA,NA,"left","end",NA,NA,NA,NA,NA,NA,3,3,1755,3555,0,NA,0,0,0,0,NA,1,0,1,0,0,0,0,0,0,"12","5-3","Pistol Wing","Pistol Wing","89 Woerner"
"Half1","ATL",1,1,"13:36","-40",10,4,"run",1,0,NA,NA,"left","tackle",NA,NA,NA,NA,NA,NA,3,3,1716,3516,0,NA,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,"12","5-2","Pistol Wing Twin","Pistol Trips","5 London"
"Half1","ATL",1,2,"13:12","-44",6,0,"pass",1,1,"short","left",NA,NA,NA,NA,NA,NA,NA,NA,3,3,1692,3492,0,NA,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,"12","5-1","Shotgun Ace","",""
"Half1","ATL",1,3,"13:09","-44",6,15,"pass",1,0,"short","middle",NA,NA,NA,NA,NA,NA,NA,NA,3,3,1689,3489,0,NA,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,"11","4-1 Dime","Shotgun Trips","Shotgun Trips","34 McCloud"
"Half1","ATL",1,1,"12:36","41",10,0,"no_play",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1656,3456,0,"0",0,0,0,0,"A.Highsmith",1,1,0,0,0,0,0,0,0,"11","4-2","Shotgun Trips","",""
"Half1","ATL",1,1,"12:31","36",5,13,"run",1,0,NA,NA,"left","end",NA,NA,NA,NA,NA,NA,3,3,1651,3451,0,NA,0,0,0,0,NA,1,0,1,0,0,0,0,0,0,"21","5-2","Pistol Weak I Left","Pistol Strong I Right","7 Robinson"
"Half1","ATL",1,1,"11:46","23",10,5,"run",1,0,NA,NA,"left","end",NA,NA,NA,NA,NA,NA,3,3,1606,3406,0,NA,0,0,0,0,NA,1,0,1,0,0,0,0,0,0,"12","5-3","Pistol Trips","Pistol Ace","89 Woerner"
"Half1","ATL",1,2,"11:08","18",5,8,"pass",1,0,"short","right",NA,NA,NA,NA,NA,NA,NA,NA,3,3,1568,3368,0,NA,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,"12","5-2 Nickel","Pistol Wing","Pistol Wing","1 Mooney"
"Half1","ATL",1,1,"10:37","10",10,-3,"run",1,1,NA,NA,"right","tackle",NA,NA,NA,NA,NA,NA,3,3,1537,3337,0,NA,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,"12","5-3","Pistol Trips","Pistol Wing","5 London"
"Half1","ATL",1,2,"09:54","13",13,0,"pass",1,0,"short","right",NA,NA,NA,NA,NA,NA,NA,NA,3,3,1494,3294,0,NA,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,"11","4-3 Nickel","Pistol Ace","Pistol Trips","8 Pitts"
"Half1","ATL",1,3,"09:51","13",13,7,"pass",1,0,"short","right",NA,NA,NA,NA,NA,NA,NA,NA,3,3,1491,3291,0,NA,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,"11","4-1 Dime","Shotgun Empty","Shotgun Empty",""
"Half1","ATL",1,4,"09:09","6",6,0,"field_goal",0,0,NA,NA,NA,NA,"made",24,NA,NA,NA,NA,3,3,1449,3249,0,NA,0,0,0,0,NA,1,0,0,0,3,0,0,0,0,"Field Goal","Field Goal Block","","",""
"Half1","PIT",1,NA,"09:06","-35",0,0,"kickoff",0,0,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,3,3,1446,3246,0,NA,0,0,0,0,NA,1,0,0,0,3,0,0,3,-3,"Kickoff","Kickoff Return","","",""
"Half1","PIT",1,1,"09:06","30",10,3,"run",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1446,3246,0,NA,0,0,0,0,NA,0,0,1,1,3,0,0,3,-3,"5-2","12","Cover 6","Cover 4","81 Pruitt"
"Half1","PIT",1,2,"08:34","33",7,0,"pass",1,1,"short","right",NA,NA,NA,NA,NA,NA,NA,NA,3,3,1414,3214,0,NA,0,0,0,0,NA,0,1,0,0,3,0,0,3,-3,"4-3","12","Cover 3","Cover 3","Yes"
"Half1","PIT",1,3,"08:29","33",7,12,"run",1,0,NA,NA,"right","end",NA,NA,NA,NA,NA,NA,2,3,1409,3209,0,NA,0,0,0,0,NA,1,1,0,0,3,0,0,3,-3,"6-0 Nickel","11","Cover 2","Cover 2","Yes"
"Half1","PIT",1,1,"07:56","45",10,4,"run",0,0,NA,NA,"right","guard",NA,NA,NA,NA,NA,NA,2,3,1376,3176,0,NA,0,0,0,0,NA,0,0,1,0,3,0,0,3,-3,"4-2 Nickel","11","Cover 2","","Yes"
"Half1","PIT",1,2,"07:16","49",6,4,"run",0,0,NA,NA,"right","end",NA,NA,NA,NA,NA,NA,2,3,1336,3136,0,NA,0,0,0,0,NA,0,0,1,0,3,0,0,3,-3,"5-1","11","Cover 4","","88 Friermuth"
"Half1","PIT",1,3,"06:46","-47",2,2,"run",0,1,NA,NA,"left","guard",NA,NA,NA,NA,NA,NA,2,3,1306,3106,0,NA,0,0,0,0,NA,1,0,1,0,3,0,0,3,-3,"5-2","13","Cover 6","81 Pruitt",""
"Half1","PIT",1,1,"06:11","-45",10,0,"pass",0,1,"short","left",NA,NA,NA,NA,NA,NA,NA,NA,2,3,1271,3071,0,NA,0,0,0,0,NA,0,1,0,0,3,0,0,3,-3,"5-2","13","Cover 2","Cover 2","81 Pruitt"
"Half1","PIT",1,2,"06:05","-45",10,4,"pass",1,0,"short","right",NA,NA,NA,NA,NA,NA,NA,NA,2,3,1265,3065,0,NA,0,0,0,0,NA,0,1,0,0,3,0,0,3,-3,"4-3","12","Cover 2","Cover 2","81 Pruitt"
"Half1","PIT",1,3,"05:27","-41",6,2,"run",1,0,NA,NA,"right","tackle",NA,NA,NA,NA,NA,NA,2,3,1227,3027,0,NA,0,0,0,0,NA,0,0,1,0,3,0,0,3,-3,"4-2 Nickel","11","Cover 2","","19 Austin"
"Half1","PIT",1,4,"04:42","-39",4,0,"field_goal",0,0,NA,NA,NA,NA,"made",57,NA,NA,NA,NA,2,3,1182,2982,0,NA,0,0,0,0,NA,1,0,0,0,3,3,0,3,-3,"Field Goal Block","Field Goal","","",""
"Half1","ATL",1,NA,"04:37","35",0,0,"kickoff",0,0,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,3,2,1177,2977,0,NA,0,0,0,0,NA,1,0,0,0,3,3,3,3,0,"Kickoff Return","Kickoff","","",""
"Half1","ATL",1,1,"04:37","-30",10,9,"pass",1,0,"short","left",NA,NA,NA,NA,NA,NA,NA,NA,3,2,1177,2977,0,NA,0,0,0,0,NA,1,1,0,0,3,3,3,3,0,NA,NA,"","",""
"Half1","ATL",1,2,"04:08","-39",1,0,"pass",1,0,"short","middle",NA,NA,NA,NA,NA,NA,NA,NA,3,2,1148,2948,0,NA,0,0,1,0,NA,0,1,0,0,3,3,3,3,0,"12","5-2 Cover 2","Shotgun Wing T Close","Shotgun Ace","7 Robinson"
"Half1","PIT",1,1,"04:02","49",10,-5,"pass",0,0,"short","right",NA,NA,NA,NA,NA,NA,NA,NA,2,3,1142,2942,0,NA,0,0,0,0,NA,0,1,0,0,3,3,3,3,0,"5-2","21","Cover 3","Cover 4","Yes"
"Half1","PIT",1,2,"03:21","44",15,3,"run",1,0,NA,NA,"right","tackle",NA,NA,NA,NA,NA,NA,2,3,1101,2901,0,NA,0,0,0,0,NA,0,1,0,0,3,3,3,3,0,"4-2 Nickel","11","","",""
"Half1","PIT",1,3,"02:40","47",12,12,"pass",1,0,"short","right",NA,NA,NA,NA,NA,NA,NA,NA,2,3,1060,2860,0,NA,0,0,0,0,NA,1,1,0,0,3,3,3,3,0,"5-0 Dime","11","Cover 2","Cover 2 Double Mug",""
"Half1","PIT",1,1,"01:54","-41",10,-1,"run",0,0,NA,NA,"right","guard",NA,NA,NA,NA,NA,NA,2,3,1014,2814,0,NA,0,0,0,0,NA,0,0,1,0,3,3,3,3,0,"7-2","13","Cover 2","",""
"Half1","PIT",1,2,"01:12","-42",11,8,"run",1,0,NA,NA,"right","guard",NA,NA,NA,NA,NA,NA,2,3,972,2772,0,NA,0,0,0,0,NA,1,0,1,0,3,3,3,3,0,"4-2 Nickel","11","Cover 2","Cover 1 Robber","Yes"
"Half1","PIT",1,3,"00:19","-34",3,3,"pass",1,0,"short","left",NA,NA,NA,NA,NA,NA,NA,NA,2,2,919,2719,0,NA,0,0,0,0,NA,1,1,0,0,3,3,3,3,0,"4-2 Nickel","11","Cover 2","","14 Pickens"
"Half1","PIT",2,1,"15:00","-31",10,-10,"run",0,0,NA,NA,"right","end",NA,NA,NA,NA,NA,NA,2,2,900,2700,0,NA,0,0,0,0,NA,0,0,1,0,3,3,3,3,0,"4-2 Nickel","11","Cover 3","Cover 2","83 Heyward"
"Half1","PIT",2,2,"14:16","-41",20,3,"run",1,0,NA,NA,"right","end",NA,NA,NA,NA,NA,NA,2,2,856,2656,0,NA,0,0,0,0,NA,0,0,1,0,3,3,3,3,0,"4-2 Nickel","11","Cover 2","Cover 2 WLB Blitz","Yes"
"Half1","PIT",2,3,"13:35","-38",17,5,"run",1,0,NA,NA,"right","end",NA,NA,NA,NA,NA,NA,2,2,815,2615,0,NA,0,0,0,0,NA,1,0,1,0,3,3,3,3,0,"6-0 Nickel","11","Cover 2 Man Blitz","Cover 2 Zone","11 Jefferson"
